City,Neighbourhood,Address,Property Type,Duration on market,Beds,Baths,Price,total_hours
Toronto,Niagara,807-85 East Liberty Street,Condo,2 days 00:00:00,1,2,769000,48.0
Niagara Falls,Chippawa,8748 Howe Crescent,House,2 days 00:00:00,3,2,899000,48.0
Toronto,Waterfront Communities C1,104-399 Adelaide Street W,Condo,2 days 00:00:00,1,2,1338000,48.0
Toronto,Waterfront Communities C1,2309-100 Western Battery Road,Condo,2 days 00:00:00,2,2,849900,48.0
Ridgeway,Crystal Beach / Ridgeway,223 Prospect Point Road,House,2 days 00:00:00,3,2,898000,48.0
Markham,German Mills,70 Aberfeldy Crescent,House,2 days 00:00:00,4,3,1699000,48.0
Toronto,Milliken,78 Historic Terrace,House,0 days 00:00:00,4,4,1380000,128.61731919521478
Toronto,Birchcliffe-Cliffside,25 Hunt Club Drive,House,2 days 00:00:00,5,3,1499000,48.0
Toronto,Leaside,31 Governors Road,House,2 days 00:00:00,3,4,4700000,48.0
Toronto,Brookhaven-Amesbury,1408-1461 Lawrence Avenue W,Condo,2 days 00:00:00,2,2,674800,48.0
Toronto,Malvern,214-430 Mclevin Avenue,Condo,2 days 00:00:00,2,1,679999,48.0
Vaughan,Patterson,66 Daphnia Drive,House,2 days 00:00:00,4,4,2100000,48.0
Toronto,Birchcliffe-Cliffside,6-45 Birchmount Road,House,2 days 00:00:00,4,3,899000,48.0
Toronto,Woburn,16 Mid Pines Road,House,2 days 00:00:00,3,2,999000,48.0
Ajax,South East,11 Burrells Road,House,2 days 00:00:00,3,2,1180000,48.0
Clarington,Newcastle,18 Aldridge Lane,Townhouse,2 days 00:00:00,3,3,799900,48.0
Toronto,Westminster-Branson,69 Sunnycrest Road,House,2 days 00:00:00,5,5,1599000,48.0
Toronto,York University Heights,40-37 Four Winds Drive,Condo,2 days 00:00:00,2,2,629900,48.0
Toronto,Waterfront Communities C1,801-39 Brant Street,Condo,2 days 00:00:00,1,1,699900,48.0
St. Catharines,No data,181 Mcbride Drive,Townhouse,0 days 00:00:00,3,2,829900,128.61731919521478
Richmond Hill,Devonsleigh,57 Falling River Drive,House,2 days 00:00:00,4,4,1399000,48.0
Markham,Unionville,57 Rouge Valley Drive,Townhouse,0 days 00:00:00,5,4,1688000,128.61731919521478
Ajax,Northwest Ajax,12 Cragg Crescent,House,0 days 00:00:00,4,4,1500000,128.61731919521478
Whitby,Rural Whitby,65 Bluegill Crescent,Townhouse,0 days 00:00:00,2,3,649900,128.61731919521478
Toronto,Wexford-Maryvale,1377 Warden Avenue,House,2 days 00:00:00,3,2,988000,48.0
Toronto,Wexford-Maryvale,M1R3X3-36 Tardree Place,House,2 days 00:00:00,4,5,2799900,48.0
Toronto,Leaside,580 Broadway Avenue,Townhouse,2 days 00:00:00,2,2,1499000,48.0
Ajax,South East,2 Harridine Lane,Condo,2 days 00:00:00,3,2,699000,48.0
Toronto,Clanton Park,412-701 Sheppard Avenue W,Condo,2 days 00:00:00,1,1,599900,48.0
Toronto,Waterfront Communities C1,1615-75 Queens Wharf Road,Condo,2 days 00:00:00,2,2,999000,48.0
Toronto,Henry Farm,4211-55 Ann O'reilly Road,Condo,2 days 00:00:00,2,2,899900,48.0
Toronto,Mount Pleasant West,1601-35 Merton Street,Condo,2 days 00:00:00,1,1,549000,48.0
St. Catharines,No data,6 Ellis Avenue,Townhouse,2 days 00:00:00,2,2,729000,48.0
Markham,Village Green-South Unionville,72 Via Jessica Drive,Townhouse,2 days 00:00:00,3,3,1200000,48.0
Toronto,Wexford-Maryvale,129 Lilian Drive,House,2 days 00:00:00,3,1,799000,48.0
Toronto,Woodbine Corridor,686 Woodbine Avenue,Townhouse,0 days 00:00:00,3,2,999000,128.61731919521478
Oshawa,Donevan,675 Taylor Avenue,House,0 days 00:00:00,3,2,699000,128.61731919521478
Toronto,Crescent Town,1805-5 Massey Square,Condo,2 days 00:00:00,2,1,550000,48.0
Toronto,Mount Pleasant West,3110-30 Roehampton Avenue,Condo,2 days 00:00:00,2,2,899900,48.0
Toronto,Bay Street Corridor,1908-25 Grenville Street,Condo,2 days 00:00:00,2,2,799000,48.0
Pelham,No data,25 Church Hill Street,House,0 days 00:00:00,3,2,775000,128.61731919521478
Haldimand,Haldimand,6965 Highway 3 Road,House,2 days 00:00:00,3,3,1317500,48.0
Whitby,Williamsburg,922 White Ash Drive,House,2 days 00:00:00,3,3,1097000,48.0
Toronto,Palmerston-Little Italy,180 Beatrice Street,Townhouse,2 days 00:00:00,5,2,2399000,48.0
Richmond Hill,Langstaff,213-330 Red Maple Road,Condo,2 days 00:00:00,1,1,725880,48.0
Toronto,Bay Street Corridor,1504-1055 Bay Street,Condo,2 days 00:00:00,1,1,620000,48.0
Toronto,Niagara,1001-38 Iannuzzi Street,Condo,2 days 00:00:00,1,1,599900,48.0
Toronto,Bay Street Corridor,907-832 Bay Street,Condo,2 days 00:00:00,1,1,670000,48.0
Toronto,Waterfront Communities C1,1111-211 Queens Quay,No data,2 days 00:00:00,2,3,2299000,48.0
Toronto,Bayview Village,#78-115 Wild Briarway ,Condo,2 days 00:00:00,3,2,989000,48.0
Toronto,Waterfront Communities C8,4005-8 The Esplanade ,Condo,0 days 00:00:00,2,2,1539000,128.61731919521478
Toronto,High Park North,352 Indian Grove,Townhouse,2 days 00:00:00,3,3,1749000,48.0
Richmond Hill,Mill Pond,36 Regent Street,House,2 days 00:00:00,6,5,2690000,48.0
Richmond Hill,Crosby,387 Bent Crescent,House,2 days 00:00:00,2,2,1100000,48.0
Toronto,Steeles,178 Shepton Way,House,2 days 00:00:00,4,3,1769000,48.0
Oshawa,Samac,214 Ryerson Crescent,House,0 days 00:00:00,4,4,949000,128.61731919521478
Toronto,High Park-Swansea,2604-105 The Queensway ,Condo,2 days 00:00:00,1,1,599900,48.0
Markham,Markham Village,18 Lindisfarne Way,Condo,2 days 00:00:00,3,3,799000,48.0
Toronto,Waterfront Communities C1,1611-8 Mercer Street,Condo,2 days 00:00:00,2,2,998800,48.0
Toronto,Casa Loma,605-78 Warren Road,Condo,2 days 00:00:00,1,1,510000,48.0
Toronto,Annex,810-170 Avenue Road,Condo,2 days 00:00:00,2,2,1695000,48.0
Toronto,Niagara,132-38 Grand Magazine Street,Condo,2 days 00:00:00,2,1,829000,48.0
Toronto,Birchcliffe-Cliffside,46 Lillington Avenue,House,0 days 00:00:00,3,2,999000,128.61731919521478
Toronto,Greenwood-Coxwell,342 Coxwell Avenue,Townhouse,2 days 00:00:00,4,4,1299000,48.0
Whitby,Blue Grass Meadows,40 Mount Pleasant Avenue,House,2 days 00:00:00,4,5,1250000,48.0
Pickering,Liverpool,1922 Glenview Road,House,2 days 00:00:00,2,2,1279000,48.0
Toronto,Greenwood-Coxwell,129 Greenwood Avenue,Townhouse,2 days 00:00:00,3,1,998000,48.0
Toronto,Leaside,5 True Davidson Drive,House,2 days 00:00:00,4,6,4188000,48.0
Toronto,York University Heights,909-1060 Sheppard Avenue W,Condo,2 days 00:00:00,1,1,649900,48.0
Toronto,Henry Farm,141 Village Greenway ,Condo,0 days 00:00:00,4,2,949900,128.61731919521478
Toronto,Niagara,437-5 Hanna Avenue,Condo,2 days 00:00:00,1,2,599000,48.0
Toronto,Bayview Village,103-9 Greenbriar Road,Condo,2 days 00:00:00,2,2,699900,48.0
Welland,No data,233 Louise Street,House,2 days 00:00:00,4,3,949000,48.0
Toronto,High Park-Swansea,1 Worthington Crescent,House,2 days 00:00:00,2,2,1499900,48.0
Toronto,Rouge E10,14 Trellanock Avenue,Townhouse,2 days 00:00:00,2,3,879900,48.0
Toronto,Clairlea-Birchmount,71 Bertha Avenue,House,2 days 00:00:00,3,2,999900,48.0
Toronto,High Park-Swansea,GPH9-2 Old Mill Drive,Condo,0 days 00:00:00,2,3,1989000,128.61731919521478
Niagara Falls,W. Wood,5999 Montrose Road,House,2 days 00:00:00,4,3,2100000,48.0
Toronto,Bendale,2008-115 Omni Drive,Condo,2 days 00:00:00,3,2,649000,48.0
Toronto,Willowdale West,510-100 Upper Madison Avenue,Condo,0 days 00:00:00,2,2,688888,128.61731919521478
Toronto,Casa Loma,G1-1 Benvenuto Place,Condo,2 days 00:00:00,3,3,4287500,48.0
Vaughan,Patterson,53 Elihof Drive,Townhouse,2 days 00:00:00,3,3,1200000,48.0
Vaughan,Patterson,33 Kaia Court,House,2 days 00:00:00,5,7,3888988,48.0
Vaughan,Patterson,29 George Kirby Street,Townhouse,2 days 00:00:00,3,4,1699000,48.0
Toronto,L'Amoreaux,15 Kenmanor Boulevard,House,2 days 00:00:00,4,5,1858000,48.0
Toronto,Cabbagetown-South St. James Town,221 Berkeley Street,House,2 days 00:00:00,3,2,1799000,48.0
Toronto,Lawrence Park North,263 Cranbrooke Avenue,Townhouse,0 days 00:00:00,3,2,1625000,128.61731919521478
Toronto,Cabbagetown-South St. James Town,401 Carlton Street,Townhouse,2 days 00:00:00,3,2,2199000,48.0
Toronto,Waterfront Communities C8,4002-15 Lower Jarvis Street,Condo,2 days 00:00:00,3,3,2479000,48.0
Thorold,No data,88 Esther Crescent,Townhouse,2 days 00:00:00,3,3,749999,48.0
Toronto,Keelesdale-Eglinton West,350 Blackthorn Avenue,Townhouse,2 days 00:00:00,3,4,1100000,48.0
Toronto,Junction Area,328 High Park Avenue,House,2 days 00:00:00,7,5,2499000,48.0
Vaughan,Patterson,349 Golden Orchard Road,House,0 days 00:00:00,4,5,2498000,128.61731919521478
Markham,Berczy,76 Majestic Drive,House,2 days 00:00:00,4,5,1988000,48.0
Oshawa,Kedron,1267 Plymouth Drive,House,2 days 00:00:00,4,4,1650000,48.0
Clarington,Courtice,91 Brownstone Crescent,Townhouse,2 days 00:00:00,3,3,649000,48.0
Lincoln,No data,4122 Boysenberry Court,Condo,2 days 00:00:00,2,3,849900,48.0
Markham,Bayview Glen,309-7071 Bayview Avenue,Condo,2 days 00:00:00,2,3,2988000,48.0
Toronto,Church-Yonge Corridor,1005-8 Wellesley Street E,Condo,2 days 00:00:00,3,2,799900,48.0
Toronto,Mount Pleasant West,PH 303-212 Eglinton Avenue E,Condo,2 days 00:00:00,2,2,879900,48.0
Toronto,Trinity-Bellwoods,203-1239 Dundas Street W,Condo,2 days 00:00:00,1,1,699900,48.0
Toronto,Clanton Park,404W-565 Wilson Avenue,Condo,0 days 00:00:00,3,2,968000,128.61731919521478
Toronto,Flemingdon Park,1111-2 Sonic Way,Condo,2 days 00:00:00,1,2,699000,48.0
Toronto,Hillcrest Village,511-9 Liszt Gate,Condo,0 days 00:00:00,4,2,888888,128.61731919521478
Toronto,York University Heights,20 Aldwinckle Heights,House,2 days 00:00:00,3,3,1200000,48.0
Clarington,Newcastle,39 Donaldson Drive,House,2 days 00:00:00,3,3,1089000,48.0
Clarington,Bowmanville,170 Lyle Drive,House,2 days 00:00:00,4,4,1148800,48.0
Toronto,Yorkdale-Glen Park,232-830 Lawrence Avenue W,Condo,0 days 00:00:00,2,2,749900,128.61731919521478
Markham,Sherwood-Amberglen,73 Delmark Boulevard,House,2 days 00:00:00,3,3,1099900,48.0
Toronto,Mount Pleasant West,58 Millwood Road,Townhouse,0 days 00:00:00,4,4,3200000,128.61731919521478
Toronto,Dovercourt-Wallace Emerson-Junction,C107-243 Perth Avenue,Condo,2 days 00:00:00,1,1,895000,48.0
Markham,Milliken Mills East,8 Penfield Drive,House,2 days 00:00:00,4,6,1458000,48.0
Markham,Raymerville,92 Sunway Square,Townhouse,2 days 00:00:00,3,4,999888,48.0
Toronto,The Beaches,17 Hambly Avenue,House,2 days 00:00:00,3,3,2295000,48.0
Toronto,Clairlea-Birchmount,114-60 Mendelssohn Street,Condo,2 days 00:00:00,2,2,739900,48.0
Toronto,Waterfront Communities C1,603-38 Stewart Street,Condo,2 days 00:00:00,2,2,999000,48.0
Vaughan,Patterson,106 Hesperus Road,House,2 days 00:00:00,4,4,1650000,48.0
Toronto,Kennedy Park,2078-1 Greystone Walk Drive,Condo,2 days 00:00:00,2,2,599000,48.0
Toronto,Mount Pleasant East,1106-398 Eglinton Avenue E,Condo,2 days 00:00:00,2,2,599000,48.0
Toronto,Church-Yonge Corridor,2301-50 Lombard Street,Condo,2 days 00:00:00,2,2,749000,48.0
Toronto,Glenfield-Jane Heights,5 Purchase Place,Townhouse,2 days 00:00:00,3,2,849000,48.0
Toronto,High Park North,19 Idyllwood Crescent,House,0 days 00:00:00,3,2,2199000,128.61731919521478
Toronto,Mount Pleasant East,503 Davisville Avenue,House,2 days 00:00:00,3,2,1699000,48.0
Whitby,Williamsburg,3 Disney Court,Townhouse,2 days 00:00:00,3,3,799900,48.0
Toronto,Birchcliffe-Cliffside,3 Beachdale Avenue,House,2 days 00:00:00,3,2,1188000,48.0
Oshawa,Lakeview,209-900 Glen Street,Condo,2 days 00:00:00,2,1,399800,48.0
Toronto,Little Portugal,632-20 Minowan Miikan Lane,Condo,2 days 00:00:00,1,1,699000,48.0
Toronto,Victoria Village,127-1496 Victoria Park Avenue,Condo,0 days 00:00:00,2,1,599999,128.61731919521478
Oshawa,McLaughlin,324 Stevenson N Road,House,2 days 00:00:00,4,3,789000,48.0
Toronto,Malvern,1214-430 Mclevin Avenue,Condo,2 days 00:00:00,2,1,599000,48.0
Pickering,Amberlea,627 Weyburn Square,House,2 days 00:00:00,4,3,1399000,48.0
Vineland,Lincoln,204-3420 Frederick Avenue,Condo,2 days 00:00:00,2,2,529900,48.0
Toronto,Willowdale East,702-2 Anndale Drive,Condo,2 days 00:00:00,2,2,850000,48.0
Toronto,Centennial Scarborough,15 Brumwell Street,House,2 days 00:00:00,3,4,1699800,48.0
Toronto,Bendale,21 Canzone Drive,House,2 days 00:00:00,3,2,899000,48.0
Toronto,Waterfront Communities C8,1308-1 Scott Street,Condo,2 days 00:00:00,1,1,749990,48.0
Pickering,Duffin Heights,1522 Winville Road,Townhouse,2 days 00:00:00,3,3,999000,48.0
Toronto,Waterfront Communities C1,719-115 Blue Jays Way,Condo,2 days 00:00:00,1,1,599000,48.0
Richmond Hill,Crosby,406 Becker Road,House,2 days 00:00:00,3,3,1399000,48.0
Toronto,Clairlea-Birchmount,50 Presley Avenue,House,0 days 00:00:00,4,5,1599000,128.61731919521478
Toronto,Bendale,90 Perivale Crescent,House,2 days 00:00:00,4,3,1098000,48.0
Toronto,Willowdale West,903-233 Beecroft Road,Condo,2 days 00:00:00,1,2,699000,48.0
Toronto,Agincourt South-Malvern West,2211-125 Village Green Square,Condo,2 days 00:00:00,2,2,770000,48.0
Toronto,Banbury-Don Mills,510-85 The Donway W,Condo,2 days 00:00:00,1,1,758000,48.0
Toronto,Newtonbrook East,113-5795 Yonge Street,Condo,2 days 00:00:00,1,2,584888,48.0
Toronto,Niagara,3404-12 Sudbury Street,Condo,0 days 00:00:00,2,1,799000,128.61731919521478
Toronto,Annex,1909-1 Yorkville Avenue,Condo,2 days 00:00:00,1,1,939999,48.0
Vaughan,Patterson,20 Starwood Road,Townhouse,2 days 00:00:00,4,4,1189000,48.0
Markham,Wismer,180 Roy Rainey Avenue,Townhouse,2 days 00:00:00,3,3,1099000,48.0
Markham,Middlefield,9 Spangler Road,House,2 days 00:00:00,4,4,1488880,48.0
Toronto,Scarborough Village,5 Annis Road,House,2 days 00:00:00,5,5,3480000,48.0
Whitby,Rolling Acres,36 Treen Crescent,Townhouse,0 days 00:00:00,3,3,749900,128.61731919521478
Toronto,Wexford-Maryvale,16 Compton Drive,House,2 days 00:00:00,3,2,1370000,48.0
Toronto,St. Andrew-Windfields,47 Beaverhall Drive,House,0 days 00:00:00,5,4,3285000,128.61731919521478
Toronto,Mimico,2005-36 Park Lawn Road,Condo,0 days 00:00:00,2,2,799900,128.61731919521478
Markham,Commerce Valley,207-62 Suncrest Boulevard,Condo,2 days 00:00:00,2,2,839000,48.0
Oshawa,Lakeview,101-900 Glen Street,Condo,2 days 00:00:00,2,1,399000,48.0
Toronto,Morningside,11 Keeler Boulevard,House,2 days 00:00:00,4,2,1449900,48.0
Whitby,Lynde Creek,106-921 Burns Street W,Condo,2 days 00:00:00,3,2,599000,48.0
St. Catharines,No data,12 Trapnell Street,House,1 days 00:00:00,2,2,549900,24.0
Markham,Thornhill,437-7171 Yonge Street,Condo,2 days 00:00:00,1,1,595000,48.0
Toronto,Scarborough Village,68-91 Muir Drive,Condo,2 days 00:00:00,3,2,629000,48.0
Richmond Hill,Oak Ridges,95 Routledge Drive,House,2 days 00:00:00,4,4,1989000,48.0
Markham,Cornell,37 Berryman Lane,House,2 days 00:00:00,5,5,1999900,48.0
Toronto,Milliken,10 Muirlands Drive,House,2 days 00:00:00,3,3,899000,48.0
Toronto,Greenwood-Coxwell,321 Rhodes Avenue,House,2 days 00:00:00,3,2,1099000,48.0
Toronto,Willowdale West,17 Hounslow Avenue,Townhouse,0 days 00:00:00,2,3,1289000,128.61731919521478
Toronto,Lansing-Westgate,67 Stuart Crescent,House,2 days 00:00:00,4,4,2425000,48.0
Oshawa,O'Neill,469 Central Park Boulevard N,House,2 days 00:00:00,5,4,899900,48.0
Richmond Hill,Bayview Hill,16 Brimwood Crescent,House,2 days 00:00:00,5,5,2998000,48.0
Toronto,Waterfront Communities C1,419-39 Queens Quay E,Condo,2 days 00:00:00,1,2,930000,48.0
Toronto,Woodbine-Lumsden,12 Coleridge Avenue,House,3 days 00:00:00,7,5,2499000,72.0
Toronto,Dufferin Grove,531 Lansdowne Avenue,House,3 days 00:00:00,4,3,1488000,72.0
Toronto,Bendale,2302-60 Town Centre Court,Condo,0 days 00:00:00,2,1,689900,128.61731919521478
Whitby,Blue Grass Meadows,221 Powell Road,House,3 days 00:00:00,1,2,999900,72.0
Vaughan,Beverley Glen,68 Redondo Drive,House,3 days 00:00:00,3,4,1619000,72.0
Mississauga,Applewood,207-1300 Bloor Street W,Condo,3 days 00:00:00,3,2,970000,72.0
Toronto,Willowdale East,409-188 Doris Avenue,Condo,3 days 00:00:00,2,2,799900,72.0
Richmond Hill,Rural Richmond Hill,24 Hartney Drive,Townhouse,3 days 00:00:00,3,4,1248000,72.0
Toronto,Woburn,2519-88 Corporate Drive,Condo,0 days 00:00:00,1,1,548800,128.61731919521478
Toronto,Runnymede-Bloor West Village,470 Beresford Avenue,House,3 days 00:00:00,3,2,1688888,72.0
Toronto,Downsview-Roding-CFB,509-60 George Butchart Drive,Condo,3 days 00:00:00,1,1,558900,72.0
Toronto,Henry Farm,1502-275 Yorkland Road,Condo,3 days 00:00:00,1,1,738000,72.0
Toronto,Agincourt South-Malvern West,14 Keyworth Trail,House,3 days 00:00:00,5,5,1750000,72.0
Toronto,Willowdale West,3315-5168 Yonge Street,Condo,3 days 00:00:00,2,3,1088000,72.0
Whitby,Lynde Creek,64 Barkerville Drive,House,0 days 00:00:00,5,4,1399900,128.61731919521478
Toronto,Moss Park,2006-105 George Street,Condo,3 days 00:00:00,1,2,699000,72.0
Fonthill,Pelham St N.,142 Port Robinson Road,Townhouse,3 days 00:00:00,2,2,825000,72.0
Welland,Prince Charles,14 Charlotte Court,House,3 days 00:00:00,3,4,1099000,72.0
Toronto,Mimico,611 Oxford Street,House,3 days 00:00:00,3,2,1438000,72.0
Oshawa,McLaughlin,536 Gibbons Street,House,3 days 00:00:00,3,3,899999,72.0
Toronto,Cliffcrest,184 Phyllis Avenue,House,3 days 00:00:00,3,2,1199999,72.0
Welland,No data,103 Albert Street,House,3 days 00:00:00,7,3,799000,72.0
Toronto,Ionview,12 Rosemount Drive W,House,3 days 00:00:00,3,3,1299999,72.0
Toronto,Bay Street Corridor,2005-57 St Joseph Street,Condo,3 days 00:00:00,2,2,1299000,72.0
Welland,No data,102 Quebec Avenue,House,0 days 00:00:00,3,4,1189900,128.61731919521478
Prince Edward County,Athol,15 Summer Village Lane,House,3 days 00:00:00,2,2,599900,72.0
Vaughan,Patterson,46 Mistywood Crescent,Townhouse,3 days 00:00:00,3,4,1495000,72.0
Toronto,Tam O'Shanter-Sullivan,60 Wishing Well Drive,House,3 days 00:00:00,3,2,988000,72.0
Pickering,Liverpool,1039 Rowntree Crescent,Townhouse,3 days 00:00:00,3,4,899000,72.0
Thorold,No data,24 Sara Drive,House,3 days 00:00:00,3,3,999000,72.0
Toronto,Mimico,2530-165 Legion Road N,Condo,3 days 00:00:00,2,2,599000,72.0
Markham,Unionville,906-8081 Birchmount Road,Condo,3 days 00:00:00,1,1,699999,72.0
Toronto,Bay Street Corridor,506-887 Bay Street,Condo,3 days 00:00:00,2,2,899000,72.0
Toronto,Yorkdale-Glen Park,809-940 Caledonia Road N,Condo,3 days 00:00:00,2,1,439900,72.0
Markham,Commerce Valley,302 South Park Road,Condo,3 days 00:00:00,3,3,998000,72.0
Toronto,High Park North,213 Keele Street,House,3 days 00:00:00,6,4,1499000,72.0
Clarington,Bowmanville,89 Trudeau Drive,House,3 days 00:00:00,3,4,899900,72.0
Toronto,Pleasant View,20 Yucatan Road,Townhouse,3 days 00:00:00,3,3,1088800,72.0
Markham,Village Green-South Unionville,121 South Unionville Avenue,Townhouse,3 days 00:00:00,3,3,1588800,72.0
Toronto,Cabbagetown-South St. James Town,346 Carlton Street,Townhouse,3 days 00:00:00,4,1,1599900,72.0
Toronto,Bay Street Corridor,4408-386 Yonge Street,Condo,3 days 00:00:00,2,2,1088000,72.0
Niagara Falls,Lascala / Falls View,6285 Skinner Street,House,3 days 00:00:00,2,1,1790,72.0
Markham,Grandview,423-7161 Yonge Street,Condo,3 days 00:00:00,1,1,698900,72.0
Toronto,Niagara,1913-85 East Liberty Street,Condo,3 days 00:00:00,2,2,1098000,72.0
Toronto,Little Portugal,#LPH06-68 Abell Street,Condo,0 days 00:00:00,2,2,699990,128.61731919521478
Toronto,Willowdale East,401-78 Harrison Garden Boulevard N,Condo,3 days 00:00:00,1,1,639000,72.0
Toronto,Banbury-Don Mills,3204-10 Inn On The Park Drive,Condo,3 days 00:00:00,2,3,1860000,72.0
Toronto,Westminster-Branson,143 Robert Hicks Drive,Townhouse,3 days 00:00:00,3,4,1299000,72.0
Toronto,Kensington-Chinatown,132-78 St. Patrick Street,Condo,3 days 00:00:00,1,1,499900,72.0
Thorold,No data,86 Esther Crescent,House,3 days 00:00:00,3,3,949900,72.0
Niagara Falls,No data,#12-8317 Mulberry Drive,Townhouse,3 days 00:00:00,3,3,789000,72.0
Toronto,Newtonbrook West,225 Connaught Avenue,House,0 days 00:00:00,4,6,2880000,128.61731919521478
Toronto,Tam O'Shanter-Sullivan,38 Arkona Drive,House,3 days 00:00:00,4,4,1599000,72.0
Toronto,Brookhaven-Amesbury,903-10 Martha Eaton Way W,Condo,0 days 12:00:00,3,2,640000,12.0
Toronto,Malvern,16-5800 Sheppard Avenue E,Condo,3 days 00:00:00,2,2,599000,72.0
Toronto,Yorkdale-Glen Park,510-16 Mcadam Avenue,No data,3 days 00:00:00,1,1,499999,72.0
Welland,No data,UNIT 08-144 Thorold Road,Townhouse,3 days 00:00:00,3,3,1049000,72.0
Markham,Unionville,A 615-10 Rouge Valley Drive W,Condo,3 days 00:00:00,2,2,868000,72.0
Richmond Hill,Devonsleigh,509-11121 Yonge Street,Condo,3 days 00:00:00,1,1,697000,72.0
Toronto,Woburn,48 Jeremiah Lane,Townhouse,0 days 00:00:00,3,3,948880,128.61731919521478
Toronto,Niagara,1022-650 Queens Quay W,Condo,3 days 00:00:00,1,1,489000,72.0
Toronto,Waterfront Communities C1,3508-125 Blue Jays Way,Condo,3 days 00:00:00,2,2,799000,72.0
Toronto,Niagara,1609-51 East Liberty Street,Condo,0 days 00:00:00,1,2,599000,128.61731919521478
Niagara Falls,No data,5585 Peer Lane,House,3 days 00:00:00,3,2,1189000,72.0
Markham,Unionville,101-50 Clegg Road,Condo,4 days 00:00:00,1,1,648000,96.0
Toronto,Lambton Baby Point,18 Humberview Road,House,4 days 00:00:00,3,3,1999999,96.0
Markham,Aileen-Willowbrook,25 Sycamore Drive,House,0 days 00:00:00,4,5,1599900,128.61731919521478
Toronto,Bayview Village,809A-19 Singer Court,Condo,4 days 00:00:00,1,1,599995,96.0
Toronto,Flemingdon Park,214-60 Pavane Linkway Way,Condo,4 days 00:00:00,3,2,699900,96.0
Whitby,Downtown Whitby,131 John Street E,House,4 days 00:00:00,3,4,950000,96.0
Toronto,Church-Yonge Corridor,1115-60 Shuter Street,Condo,0 days 00:00:00,1,1,899000,128.61731919521478
Toronto,Waterfront Communities C8,404-1 The Esplanade ,Condo,4 days 00:00:00,2,2,949000,96.0
Niagara Falls,Lascala / Falls View,6167 Arad Street,House,4 days 00:00:00,3,1,479900,96.0
Toronto,Downsview-Roding-CFB,412-60 George Butchart Drive,Condo,4 days 00:00:00,1,2,689900,96.0
Toronto,Malvern,513-100 Wingarden Court,Condo,4 days 00:00:00,2,2,549000,96.0
Toronto,L'Amoreaux,30 Hepscott Terrace,Townhouse,0 days 00:00:00,3,2,988000,128.61731919521478
Toronto,Waterfront Communities C1,4105N-65 Bremner Boulevard,Condo,4 days 00:00:00,2,2,925888,96.0
Toronto,Agincourt South-Malvern West,41 Sonmore Drive,House,4 days 00:00:00,3,4,1188800,96.0
Richmond Hill,Doncrest,908-396 Highway 7 E Street,Condo,4 days 00:00:00,1,1,808000,96.0
Pelham,No data,54 Summersides Boulevard,Townhouse,4 days 00:00:00,4,3,975000,96.0
Clarington,Courtice,217 Huntington Crescent,House,4 days 00:00:00,3,4,950000,96.0
Markham,Cedarwood,138 Tara Crescent,House,4 days 00:00:00,3,4,1468000,96.0
Vaughan,Lakeview Estates,1105-850 Steeles Avenue W,Condo,4 days 00:00:00,2,2,850000,96.0
Ridgeway,No data,4874 Abino Hills Road,House,4 days 00:00:00,4,3,1265000,96.0
Toronto,L'Amoreaux,ST-69 Bellefontaine Street,Townhouse,4 days 00:00:00,3,4,899000,96.0
Ajax,Central,89 Reed Drive,House,4 days 00:00:00,4,4,899900,96.0
Ajax,South East,3 Hassard-short Lane,House,4 days 00:00:00,4,4,1288880,96.0
Toronto,Mimico,2719-30 Shore Breeze Drive,Condo,1 days 00:00:00,1,1,699000,24.0
Toronto,Bay Street Corridor,306-633 Bay Street,Condo,4 days 00:00:00,1,1,628000,96.0
Welland,No data,41 Michael Drive,House,4 days 00:00:00,4,3,999900,96.0
Niagara Falls,No data,5585 Peer Lane,House,3 days 00:00:00,3,2,1189000,72.0
Toronto,Mimico,212-1 Palace Pier Court,Condo,4 days 00:00:00,1,1,649000,96.0
Whitby,Rural Whitby,82 Auckland Drive,House,4 days 00:00:00,5,4,1349000,96.0
Toronto,Woburn,6 Pelmar Place,House,4 days 00:00:00,3,2,1399000,96.0
Toronto,Dovercourt-Wallace Emerson-Junction,986 Dovercourt Road,Townhouse,4 days 00:00:00,2,2,929900,96.0
Pickering,Town Centre,613-1890 Valley Farm Road,Condo,4 days 00:00:00,2,2,699900,96.0
Richmond Hill,Harding,825-326 Major Mackenzie Drive E,Condo,4 days 00:00:00,2,2,649000,96.0
Toronto,West Hill,351 Beechgrove Drive,House,4 days 00:00:00,5,6,2499000,96.0
Toronto,Weston-Pellam Park,202-385 Osler Street,Condo,4 days 00:00:00,2,2,699000,96.0
Toronto,Waterfront Communities C1,1611-35 Mariner Terrace,Condo,4 days 00:00:00,1,1,699000,96.0
Whitby,Rural Whitby,8 Maskell Crescent,House,0 days 00:00:00,4,5,1679000,128.61731919521478
Toronto,Little Portugal,1069 College Street,House,4 days 00:00:00,3,5,2498900,96.0
Toronto,Moss Park,1515-400 Adelaide Street E,Condo,4 days 00:00:00,2,2,919000,96.0
Toronto,Rosedale-Moore Park,1702-825 Church Street,Condo,4 days 00:00:00,2,2,998000,96.0
Toronto,South Riverdale,94 Dagmar Avenue,House,4 days 00:00:00,2,2,1490000,96.0
